"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"19","@KenyaPower_Care I have bought tokens for meter number14244654506, I'm yet to receive them.",FALSE,0,"KenyaPower_Care",2018-09-30 17:54:20,FALSE,NA,"1046458235719503872","147561402","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"20","@KenyaPower_Care I have bought tokens via MPesa for this account 14244654506, I haven't received the tokens. Kindly assist",FALSE,0,"KenyaPower_Care",2018-09-30 17:52:50,FALSE,NA,"1046457859691728896","147561402","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"21","@KenyaPower_Care Kindly assist MIU1Y9H87L Confirmed. Ksh487.00 sent to KPLC PREPAID  for account 14244654506 on 30/9/18 at 8:01 PM",FALSE,0,"KenyaPower_Care",2018-09-30 17:26:54,FALSE,NA,"1046451330838155267","147561402","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"22","@KCBGroup @CBKKenya @CofekRebranded This is already done.",FALSE,0,"KCBGroup",2018-09-28 08:29:23,FALSE,"1045590501066334208","1045591284742844416","200988657","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"23","@stevotxo @KCBGroup @CBKKenya KCB needs to come clear and tell us when they intend to resolve the whole issue. They… https://t.co/n8hIiGaJA6",FALSE,0,"stevotxo",2018-09-28 08:25:55,TRUE,"1045589195153125376","1045590414567395333","3524875521","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"24","@KCBGroup @CBKKenya I have withdrew an amount from my account yesterday at 2:54PM, the  amount is yet to reflect in… https://t.co/oKmVQBy8ar",FALSE,0,"KCBGroup",2018-09-28 08:20:09,TRUE,"1045585447655624704","1045588963598241793","200988657","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"25","@Jahson_k @Brianmbunde I'm not seeing the original tweet",FALSE,0,"Jahson_k",2018-09-28 08:04:18,FALSE,"1045415820988428295","1045584972826988544","525502908","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"26","@honkabogo @RobertAlai This guys is speaking a lot of sense https://t.co/YXsbzuHs84",FALSE,0,"honkabogo",2018-09-26 20:13:04,FALSE,NA,"1045043600281792513","275081037","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"27","@RobertAlai <U+0001F602><U+0001F602><U+0001F601><U+0001F601>",FALSE,0,"RobertAlai",2018-09-26 20:02:04,FALSE,"1045039736459591681","1045040830849921024","16712223","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"28","@okolaowiti Cool, thank you",FALSE,0,"okolaowiti",2018-09-18 18:52:01,FALSE,"1042096104513388549","1042124100251070464","384421070","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"29","@AP Impressive run",FALSE,1,"AP",2018-09-16 10:28:18,FALSE,"1041261091563683841","1041272557796839424","51241574","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"30","https://t.co/tIsCMb4sr0",FALSE,0,NA,2018-09-12 09:58:16,FALSE,NA,"1039815450144792577",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"31","@Mwirigi ##@I
 A
The,",FALSE,1,"Mwirigi",2018-09-07 15:04:06,FALSE,"1037897126532005888","1038080475343011840","16463639","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"32","https://t.co/1es4QSyvKg",FALSE,0,NA,2018-08-28 10:55:13,FALSE,NA,"1034393961517993985",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"33","@LiamPaulCanning We are winning by 2:1",FALSE,0,"LiamPaulCanning",2018-08-27 12:48:50,FALSE,"1033979931187916800","1034060168445788160","1433066989","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"34","Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/E8THIvlMFP",FALSE,1,NA,2018-08-19 06:52:02,FALSE,NA,"1031071272694898688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"35","@xtiandela Manchester city and Chelsea will end up beating most of the teams, at least once. Arsenal are starting t… https://t.co/Zf1MfqqIZ5",FALSE,3,"xtiandela",2018-08-18 18:46:00,TRUE,"1030887406004838400","1030888560591884289","1288063951","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"36","@Zuku_WeCare Thanks the speed has recovered. I will keep monitoring it. Thank you",FALSE,1,"Zuku_WeCare",2018-08-18 11:04:59,FALSE,"1030764927408132097","1030772542682935296","624612122","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"37","@Zuku_WeCare My connection is so unstable 810165 https://t.co/hDZ3U7F2Nr",FALSE,0,"Zuku_WeCare",2018-08-18 10:10:15,FALSE,NA,"1030758767347068929","624612122","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"38","@Zuku_WeCare What is wrong with my connection, the speed is 0.72Mbps.810165",FALSE,0,"Zuku_WeCare",2018-08-18 09:14:05,FALSE,NA,"1030744634341896192","624612122","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"39","@Zuku_WeCare It's having some glitches",FALSE,0,"Zuku_WeCare",2018-08-16 18:12:36,FALSE,"1030152794232250368","1030155380721168385","624612122","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"40","@Zuku_WeCare What is wrong with my connection 810165",FALSE,0,"Zuku_WeCare",2018-08-16 17:54:31,FALSE,NA,"1030150829825773568","624612122","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"41","@Muella_richy @OfficialMrCarl @OfficialMrCarl Judas Iscariot got more money than Kenyan MPs who were bribed with ju… https://t.co/FNr58hhIdD",FALSE,0,"Muella_richy",2018-08-14 18:03:07,TRUE,"1029321798192652289","1029428219206922241","2161761455","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",1,FALSE,FALSE,NA,NA
"42","@Muella_richy @OfficialMrCarl @OfficialMrCarl Scandals is our name
https://t.co/MJjOIPVnT3",FALSE,0,"Muella_richy",2018-08-14 18:01:15,FALSE,"1029321798192652289","1029427746810867712","2161761455","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",1,FALSE,FALSE,NA,NA
"43","@Muella_richy @OfficialMrCarl @OfficialMrCarl Kindly do this poll, again and include Kenya. Just recently  Kenyan g… https://t.co/D0K55h7duf",FALSE,2,"Muella_richy",2018-08-14 17:59:29,TRUE,"1029321798192652289","1029427302889914368","2161761455","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",1,FALSE,FALSE,NA,NA
"44","@Jahson_k I'm going to check it out. Thanks",FALSE,1,"Jahson_k",2018-08-12 15:58:12,FALSE,"1028502445746520064","1028672004772319233","525502908","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"45","@Zuku_WeCare You customer cannot be reached by phone. What is happening",FALSE,0,"Zuku_WeCare",2018-08-11 06:04:49,FALSE,NA,"1028160286904279040","624612122","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"46","@Zuku_WeCare Kindly reconnect account 810165. I'm not able to access internet",FALSE,0,"Zuku_WeCare",2018-08-11 06:03:58,FALSE,NA,"1028160071543472128","624612122","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"47","@JILLKUI Hitchhiking (also known as thumbing or hitching) is a means of transportation that is gained by asking peo… https://t.co/eSODLOS7s8",FALSE,7,"JILLKUI",2018-08-10 13:17:51,TRUE,"1027905268284379136","1027906874950279168","256860932","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"48","@JILLKUI With or without money you need to get yourself to Mombasa very soon",FALSE,2,"JILLKUI",2018-08-10 13:06:16,FALSE,"1027863952422838273","1027903959875440640","256860932","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"49","@r0bbo_ @Aakash_utd @AidanWalshMUFC @Malachians <U+0001F602><U+0001F602><U+0001F602>",FALSE,0,"utdRobbo",2018-08-09 08:23:37,FALSE,"1027307130792157185","1027470443337396224","1330274143","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"50","@bonifacemwangi Very sad, but it's true.",FALSE,0,"bonifacemwangi",2018-08-08 05:38:30,FALSE,"1027020092964564997","1027066501709348864","44116121","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"51","@ntvkenya @BahatiKenya Not that bad, but definitely there is a room for improvement.",FALSE,0,"ntvkenya",2018-08-05 16:52:29,FALSE,"1026143022126452738","1026148950045351936","25985333","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"52","@ItsMissMusau True",FALSE,0,"ItsMissMusau",2018-08-05 13:43:38,FALSE,"1026038207786479616","1026101425376395264","941279198","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"53","Who retweets who #BringBackNyakundi https://t.co/4cFAJq97wE",FALSE,0,NA,2018-07-31 09:56:03,FALSE,NA,"1024232210889691138",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"54","@gmail Someone used my Gmail account and created an account on @facebook . I'm getting notifications from Facebook… https://t.co/ffJLAsCzPF",FALSE,0,"gmail",2018-07-26 08:00:03,TRUE,NA,"1022391079168081921","38679388","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"55","Social media analysis of trend Brain Cell 2 https://t.co/UtlAKA4CW7",FALSE,1,NA,2018-07-24 19:37:24,FALSE,NA,"1021841799038607362",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
"56","Brain Cell 2 https://t.co/sBZqtPIjLW",FALSE,2,NA,2018-07-24 19:35:34,FALSE,NA,"1021841339070210048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mutua_ndunda",0,FALSE,FALSE,NA,NA
